N,true_gamma,sim,prs_r2,wg_power,wg_gamma,wg_pval,pc_power,pc_gamma,pc_pval,cd_power,cd_gamma,cd_pval
5000,-0.1,47,0.0014388009876875225,0,0.008291391740076788,0.3972331101583493,0,-0.00019111161727571377,0.12013297497553288,0,0.003042794127821071,0.8297000939308189
5000,-0.1,48,0.00011603050693675372,0,0.0016334013846085339,0.8689443702908503,0,0.0005903373527924138,0.24378376296667637,0,0.00759771796053123,0.5875908914531208
5000,-0.1,49,0.0015629296915524282,0,0.010157273567821007,0.3048792798387682,1,0.00010092691704083139,0.04781299171993969,0,0.0054425584711529085,0.7010111138017932
5000,-0.1,50,0.0021069456410828876,0,0.00017297222444430382,0.9862468462808036,1,-0.0004034943594028476,0.025684394150911283,0,0.010326664760253602,0.4674003378776962
5000,-0.1,51,0.0018315202881541916,0,0.017117878049252383,0.08273416505305223,0,0.0007941705471255109,0.23467357776436182,0,0.008688515946307327,0.53605149651626
5000,-0.1,52,0.003438764679279035,0,-0.006581234997863255,0.5244641974989899,0,-0.0009958536003715065,0.16283440374191016,0,-0.009511842447281411,0.516279325401406
5000,-0.1,53,0.004263631125081843,0,0.006341114051800445,0.5238593128676852,0,0.0010994549530792006,0.42927498525293095,0,-0.0034017042666422033,0.809883213408144
5000,-0.1,54,0.004883088034078236,0,-0.00628663956576406,0.5112475816086696,0,-0.0015937391275591263,0.303886400749795,0,-0.009489279292758057,0.49510010739271115
5000,-0.1,55,0.00015950482576478428,1,0.01991165113077699,0.04146732457001375,0,0.0008333047423755394,0.9200323511003365,0,0.02448282497960047,0.08090258569431472
5000,-0.1,56,0.0036316503998815508,0,-0.008791602428607867,0.36928002314958674,0,-0.0006692855729014709,0.7993178095865209,0,-0.010509693786144537,0.44984418617136623
