N,R2,true_gamma,sim,wg_power,wg_gamma,wg_pval,pc_power,pc_gamma,pc_pval,cd_power,cd_gamma,cd_pval
50000,0.01,-0.1,146,0,0.0032544701251230896,0.30457599834016813,0,-0.0010017747162236544,0.8070913446333653,0,0.00034101338837190065,0.9389108425143031
50000,0.01,-0.1,147,1,-0.006383846559390216,0.042039335814448325,0,0.0003059806015096728,0.2932837334473892,0,-0.005788233509853205,0.1913101197246939
50000,0.01,-0.1,148,0,-0.006117518045401261,0.05166015921782789,0,0.0007721948189751937,0.4906538407315919,0,-0.008399395557598924,0.05727172586748263
50000,0.01,-0.1,149,0,-0.00320016633641675,0.3070154980873148,0,-0.0002008670453218221,0.8918188018728853,0,0.000627274973665905,0.8884683331828953
50000,0.01,-0.1,150,0,0.004722341967317276,0.13142086507304734,0,5.586532983110824e-05,0.3455560107426279,0,-0.005053906413983618,0.25709071120294164
50000,0.01,-0.1,151,0,0.0035733139590990153,0.25874087772846194,0,0.0003868072758500781,0.765336159594405,0,-0.0006656541720083504,0.8819106422084461
50000,0.01,-0.1,152,0,3.495186809628149e-05,0.9910986826235154,0,0.0005555077038218981,0.8125367956257185,0,-0.005455362772254511,0.21673927532755502
50000,0.01,-0.1,153,0,-0.001179410897417214,0.7083085669307813,0,0.0005975012920194952,0.8974535266191798,0,-0.0030087499494637383,0.5034136531250708
50000,0.01,-0.1,154,0,-0.0020675701474633336,0.5145681811040448,0,-4.700819153697175e-05,0.37984587604484954,0,0.003773087370604755,0.39947084033251623
50000,0.01,-0.1,155,0,0.0024321023570738464,0.4342592796988687,0,-0.00014582180087074833,0.2219357978347104,0,0.003940650315638533,0.37836762925253453
50000,0.01,-0.1,156,0,-0.00084896102945159,0.786032385745929,0,-0.0007062546026321366,0.8731173809217746,0,0.00037923465933233715,0.9323475879024132
50000,0.01,-0.1,157,0,-0.0030480190860390473,0.33479636558475123,0,0.0008589373764460623,0.87040751347929,0,-0.0010938737247062813,0.8066664405473588
50000,0.01,-0.1,158,0,-0.001481077223412904,0.6374152880125612,0,0.0003633861236764814,0.29622333592371874,0,-0.001987031512388552,0.6555569261407408
50000,0.01,-0.1,159,0,0.0025521121037822567,0.42144308264063945,0,0.00010687585832371065,0.6545416499202434,0,0.003496682562527176,0.43344169769037866
50000,0.01,-0.1,160,0,-0.0011462108929541162,0.7148627054014867,0,0.0008689397207177526,0.0864139936950914,0,0.004425630359582512,0.32235606597938593
50000,0.01,-0.1,161,0,0.0014771994618166116,0.6409024901249044,0,-0.00033992802263291445,0.6405049053192697,0,0.007481836344975864,0.09086680972528886
50000,0.01,-0.1,162,0,-0.003304197306892958,0.2967420399599326,0,-0.0007116293676308801,0.15099800069909985,0,-0.004390511039974379,0.3258467696984053
50000,0.01,-0.1,163,0,0.0003076507863182333,0.9226080640695006,0,0.0003533797706465316,0.9883057488025536,0,0.002999156727521236,0.5029256123257049
50000,0.01,-0.1,164,0,-0.0011561946340377907,0.7169943575296822,1,0.0003396388181701661,0.0018671502420817276,0,-0.0010401281155112585,0.8161810528574481
50000,0.01,-0.1,165,0,-0.0022841114857416896,0.469019000604572,0,0.000599291796436794,0.44760749379570197,0,-0.003214802397688986,0.470839400958462
50000,0.01,-0.1,166,0,-0.0009850532298114234,0.7555784771915848,0,-0.0008815940273860486,0.9383910751466846,0,0.00018304429147072897,0.9670049220181105
50000,0.01,-0.1,167,0,0.00045131689945224896,0.8862291425530877,0,-0.00022768070303352887,0.6515304921810187,0,-0.0035823713822889782,0.42210564610140333
50000,0.01,-0.1,168,0,0.004178819742236733,0.18071548831105871,0,0.0003112507830860716,0.8718505084031745,0,-0.007659782759087067,0.08411253973420901
50000,0.01,-0.1,169,0,-0.000445445905595962,0.8870104419305083,0,-0.00011166515067571174,0.14525874301628927,0,0.00033374599666476134,0.939999089152626
50000,0.01,-0.1,170,0,-0.0007107014149145437,0.8201236338284007,0,0.00017368845164254148,0.5922693249540715,0,-0.005448398374555107,0.22020318443064818
50000,0.01,-0.1,171,0,-0.0031527398247590812,0.3158312675196333,0,-3.0754920993377046e-05,0.7125986105196369,0,-0.0009955606841942047,0.8231364928752818
50000,0.01,-0.1,172,0,0.0032765638242728454,0.2965129929547878,0,-0.0009991374266849532,0.75597711320212,0,-0.00211325110666481,0.6370488085422039
